# Reaction ID, reaction activity [mmol/gDW/h] 
PFK,13.1
PFL,0
PGI,11.1
PGK,24
PGL,7.3
ACALD,0
AKGt2r,0
PGM,21.7
PIt2r,5.2
ALCD2x,0
ACKr,2.5
PPC,3.6
ACONTa,21.4
ACONTb,21.4
PPCK,13.3
ACt2r,3.6
PDH,26.6
PPS,3.1
ADK1,27.4
AKGDH,26.7
ATPS4r,80.1
PTAr,4.47
PYK,28.2
PYRt2,0
RPE,6.3
CS,21.4
RPI,5.6
SUCCt2_2,0
CYTBD,41.1
D_LACt2,0
ENO,29.3
SUCCt3,0
SUCDi,27.3
SUCOAS,19.4
TALA,4.5
THD2,6.5
TKT1,3.5
TKT2,3.5
TPI,70
FBA,30.4
FBP,1.2
FRD7,15.6
FRUpts2,3
FUM,24.4
FUMt2_2,0
G6PDH2r,6.5
GAPD,24.5
GLCpts,21.1
GLNS,4.5
GLNabc,0.3
GLUDy,7.6
GLUN,5.4
GLUSy,7.3
GLUt2r,0
GND,5.6
ICDHyr,12.4
ICL,3.4
LDH_D,0
MALS,4.5
MALt2_2,0
MDH,7.8
ME1,3.3
ME2,3.4
NADH16,40.1
NADTRHD,1.3
